File,Del_ID,Wait_Start,Result_Time,Time_Diff_Seconds,Result
CHARNE_INV.log,720337279,25-Nov-25 19:46:06,25-Nov-25 19:46:06,0.0,LOCK SUCCESS
CHARNE_INV.log,720337280,25-Nov-25 19:46:07,25-Nov-25 19:46:07,0.0,LOCK SUCCESS
CHARNE_INV.log,720337281,25-Nov-25 19:46:07,25-Nov-25 19:46:07,0.0,LOCK SUCCESS
CHARNE_INV.log,720335370,25-Nov-25 19:46:45,25-Nov-25 19:46:45,0.0,LOCK SUCCESS
CHARNE_INV.log,720332887,25-Nov-25 19:46:46,25-Nov-25 19:46:46,0.0,LOCK SUCCESS
CHARNE_INV.log,720332888,25-Nov-25 19:46:46,25-Nov-25 19:46:46,0.0,LOCK SUCCESS
CHARNE_INV.log,720325329,25-Nov-25 20:01:14,25-Nov-25 20:01:14,0.0,LOCK SUCCESS
CHARNE_INV.log,720336409,25-Nov-25 20:02:28,25-Nov-25 20:02:28,0.0,LOCK SUCCESS
CHARNE_INV.log,720326118,25-Nov-25 20:02:58,25-Nov-25 20:02:58,0.0,LOCK SUCCESS
CHARNE_INV.log,720326130,25-Nov-25 20:03:29,25-Nov-25 20:03:29,0.0,LOCK SUCCESS
CHARNE_INV.log,720323020,25-Nov-25 20:03:59,25-Nov-25 20:03:59,0.0,LOCK SUCCESS
CHARNE_INV.log,720346154,25-Nov-25 20:05:15,25-Nov-25 20:05:15,0.0,LOCK SUCCESS
CHARNE_INV.log,720346155,25-Nov-25 20:05:15,25-Nov-25 20:05:15,0.0,LOCK SUCCESS
CHARNE_INV.log,720337524,25-Nov-25 20:10:34,25-Nov-25 20:10:34,0.0,LOCK SUCCESS
CHARNE_INV.log,720336599,25-Nov-25 20:10:34,25-Nov-25 20:10:34,0.0,LOCK SUCCESS
CHARNE_INV.log,720337522,25-Nov-25 20:10:34,25-Nov-25 20:10:34,0.0,LOCK SUCCESS
CHARNE_INV.log,720336624,25-Nov-25 20:13:23,25-Nov-25 20:13:23,0.0,LOCK SUCCESS
